/* DATA DESCRIPTION:
Citation:	Angelopoulos, Michael; Westermann, Sebastian; Overduin, Pier Paul; Faguet, Alexey; Olenchenko, Vladimir; Grosse, Guido; Grigoriev, Mikhail N (2018): Terrestrial and nearshore apparent resistivity data on the Bykovsky Peninsula in July 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.895886, 
	In supplement to: Angelopoulos, M et al. (2019): Heat and Salt Flow in Subsea Permafrost Modeled with CryoGRID2. Journal of Geophysical Research-Earth Surface, 124(4), 920-937, https://doi.org/10.1029/2018JF004823
Project(s):	Permafrost Research (Periglacial Dynamics) @ AWI (AWI_PerDyn) (URI: http://www.awi.de/en/science/geosciences/periglacial-research.html)
	Rapid Permafrost Thaw in a Warming Arctic and Impacts on the Soil Organic Carbon Pool (PETA-CARB) (URI: https://www.awi.de/en/science/junior-groups/peta-carb.html)
Funding:	Seventh Framework Programme (FP7), grant/award no. 338335: Rapid Permafrost Thaw in a Warming Arctic and Impacts on the Soil Organic Carbon Pool (URI: https://cordis.europa.eu/project/id/338335)
Coverage:	MEDIAN LATITUDE: 71.732605 * MEDIAN LONGITUDE: 129.317215 * SOUTH-BOUND LATITUDE: 71.731130 * WEST-BOUND LONGITUDE: 129.315250 * NORTH-BOUND LATITUDE: 71.734080 * EAST-BOUND LONGITUDE: 129.319180
	DATE/TIME START: 2017-07-29T00:00:00 * DATE/TIME END: 2017-07-29T00:00:00
Event(s):	ERT_BYK_land_2017 * LATITUDE START: 71.734080 * LONGITUDE START: 129.315250 * LATITUDE END: 71.731130 * LONGITUDE END: 129.319180 * DATE/TIME: 2017-07-29T00:00:00 * LOCATION: Bykovsky Peninsula, Lena Delta, Siberia * METHOD/DEVICE: Electrical resistivity tomography (ERT)
Comment:	In July 2017, apparent resistivity data were collected with a Skala system on land and in the nearshore zone. In the nearshore zone, the electrodes lay directly on the seabed. Each row of data includes the position and elevation (in metres) of the two current electrodes (C1 and C2) and the two potential electrodes (P1 and P2), as well as the apparent resistivity (in ohm-meters). The latitude and longitude for the survey start and end points are:
	Profile start: Lat=71.73408, Lon=129.31525
	Profile end: Lat=71.73113, Lon=129.31918
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html)
	Distance [m] (Distance) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: C1 surface distance: position relative to profile start
	Sample elevation [m] (Elevation) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: C1
	Distance [m] (Distance) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: C2 surface distance: position relative to profile start
	Sample elevation [m] (Elevation) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: C2
	Distance [m] (Distance) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: P1 surface distance: position relative to profile start
	Sample elevation [m] (Elevation) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: P1
	Distance [m] (Distance) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: P2 surface distance: position relative to profile start
	Sample elevation [m] (Elevation) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: P2
	Resistivity, apparent [Ohm m] (Resistivity app) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * METHOD/DEVICE: Electrical survey system, Skala
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	6228 data points
*/
Date/Time	Distance [m] (C1 surface distance: position...)	Elevation [m] (C1)	Distance [m] (C2 surface distance: position...)	Elevation [m] (C2)	Distance [m] (P1 surface distance: position...)	Elevation [m] (P1)	Distance [m] (P2 surface distance: position...)	Elevation [m] (P2)	Resistivity app [Ohm m]
2017-07-29	50	14.700	45	14.600	65	14.900	70	15.200	6887.8633
2017-07-29	55	14.600	50	14.700	70	15.200	75	15.500	6445.6997
2017-07-29	60	14.900	55	14.600	75	15.500	80	15.400	10006.0039
2017-07-29	65	14.900	60	14.900	80	15.400	85	15.500	12461.5361
2017-07-29	70	15.200	65	14.900	85	15.500	90	15.500	13034.9385
2017-07-29	75	15.500	70	15.200	90	15.500	95	15.800	4698.3271
2017-07-29	80	15.400	75	15.500	95	15.800	100	15.600	9143.5615
2017-07-29	85	15.500	80	15.400	100	15.600	105	15.800	11984.2646
2017-07-29	90	15.500	85	15.500	105	15.800	110	16.000	7836.2314
2017-07-29	95	15.800	90	15.500	110	16.000	115	15.900	4346.9243
2017-07-29	100	15.600	95	15.800	115	15.900	120	16.100	6144.5874
2017-07-29	105	15.800	100	15.600	120	16.100	125	16.100	8370.2393
2017-07-29	110	16.000	105	15.800	125	16.100	130	16.100	6089.0190
2017-07-29	115	15.900	110	16.000	130	16.100	135	16.300	5512.1851
2017-07-29	120	16.100	115	15.900	135	16.300	140	16.300	6557.9492
2017-07-29	125	16.100	120	16.100	140	16.300	145	16.400	7558.3325
2017-07-29	130	16.100	125	16.100	145	16.400	150	16.500	7047.8491
2017-07-29	135	16.300	130	16.100	150	16.500	155	16.600	6915.4312
2017-07-29	140	16.300	135	16.300	155	16.600	160	16.600	7773.7456
2017-07-29	145	16.400	140	16.300	160	16.600	165	16.600	8960.6553
2017-07-29	150	16.500	145	16.400	165	16.600	170	16.700	10283.9404
2017-07-29	155	16.600	150	16.500	170	16.700	175	17.000	10309.1055
2017-07-29	160	16.600	155	16.600	175	17.000	180	17.000	7452.6616
2017-07-29	165	16.600	160	16.600	180	17.000	185	17.000	9039.7002
2017-07-29	170	16.700	165	16.600	185	17.000	190	16.700	12468.7930
2017-07-29	175	17.000	170	16.700	190	16.700	195	16.700	15159.1904
2017-07-29	180	17.000	175	17.000	195	16.700	200	15.600	6012.5273
2017-07-29	190	16.700	185	17.000	205	13.700	210	12.700	11546.2959
2017-07-29	195	16.700	190	16.700	210	12.700	215	13.500	4885.6919
2017-07-29	210	12.700	205	13.700	225	6.900	230	4.300	7578.6709
2017-07-29	220	9.700	215	13.500	235	0.000	240	0.000	1714.5933
2017-07-29	225	6.900	220	9.700	240	0.000	245	-0.227	408.2343
2017-07-29	230	4.300	225	6.900	245	-0.227	250	-0.455	224.2334
2017-07-29	235	0.000	230	4.300	250	-0.455	255	-0.682	143.2415
2017-07-29	240	0.000	235	0.000	255	-0.682	260	-0.909	110.0117
2017-07-29	245	-0.227	240	0.000	260	-0.909	265	-1.136	19.3412
2017-07-29	250	-0.455	245	-0.227	265	-1.136	270	-1.364	16.3255
2017-07-29	255	-0.682	250	-0.455	270	-1.364	275	-1.591	16.0780
2017-07-29	260	-0.909	255	-0.682	275	-1.591	280	-1.818	18.6977
2017-07-29	265	-1.136	260	-0.909	280	-1.818	285	-2.045	16.3876
2017-07-29	270	-1.364	265	-1.136	285	-2.045	290	-2.273	10.6829
2017-07-29	275	-1.591	270	-1.364	290	-2.273	295	-2.500	8.7854
2017-07-29	280	-1.818	275	-1.591	295	-2.500	300	-2.608	10.1716
2017-07-29	285	-2.045	280	-1.818	300	-2.608	305	-2.717	7.6980
2017-07-29	290	-2.273	285	-2.045	305	-2.717	310	-2.825	6.3052
2017-07-29	295	-2.500	290	-2.273	310	-2.825	315	-2.933	5.7773
2017-07-29	300	-2.608	295	-2.500	315	-2.933	320	-3.042	5.0509
2017-07-29	305	-2.717	300	-2.608	320	-3.042	325	-3.150	4.7541
2017-07-29	310	-2.825	305	-2.717	325	-3.150	330	-3.258	5.3612
2017-07-29	315	-2.933	310	-2.825	330	-3.258	335	-3.367	5.9903
2017-07-29	320	-3.042	315	-2.933	335	-3.367	340	-3.475	4.5294
2017-07-29	325	-3.150	320	-3.042	340	-3.475	345	-3.583	4.8256
2017-07-29	330	-3.258	325	-3.150	345	-3.583	350	-3.692	4.6564
2017-07-29	335	-3.367	330	-3.258	350	-3.692	355	-3.800	5.2307
2017-07-29	5	14.300	0	14.600	30	14.600	35	14.600	9957.5039
2017-07-29	10	14.300	5	14.300	35	14.600	40	14.900	7269.0200
2017-07-29	15	14.300	10	14.300	40	14.900	45	14.600	6449.0693
2017-07-29	20	14.500	15	14.300	45	14.600	50	14.700	9932.2041
2017-07-29	25	14.700	20	14.500	50	14.700	55	14.600	11396.7813
2017-07-29	35	14.600	30	14.600	60	14.900	65	14.900	8971.5967
2017-07-29	40	14.900	35	14.600	65	14.900	70	15.200	13047.9307
2017-07-29	45	14.600	40	14.900	70	15.200	75	15.500	9313.5703
2017-07-29	50	14.700	45	14.600	75	15.500	80	15.400	9746.6533
2017-07-29	55	14.600	50	14.700	80	15.400	85	15.500	13257.9902
2017-07-29	60	14.900	55	14.600	85	15.500	90	15.500	17635.1309
2017-07-29	65	14.900	60	14.900	90	15.500	95	15.800	10036.6064
2017-07-29	70	15.200	65	14.900	95	15.800	100	15.600	15874.5957
2017-07-29	75	15.500	70	15.200	100	15.600	105	15.800	14322.3730
2017-07-29	80	15.400	75	15.500	105	15.800	110	16.000	13315.5859
2017-07-29	85	15.500	80	15.400	110	16.000	115	15.900	11474.1680
2017-07-29	90	15.500	85	15.500	115	15.900	120	16.100	10810.0791
2017-07-29	95	15.800	90	15.500	120	16.100	125	16.100	8085.6396
2017-07-29	100	15.600	95	15.800	125	16.100	130	16.100	10760.8301
2017-07-29	105	15.800	100	15.600	130	16.100	135	16.300	11702.6660
2017-07-29	110	16.000	105	15.800	135	16.300	140	16.300	11248.5391
2017-07-29	115	15.900	110	16.000	140	16.300	145	16.400	9072.1406
2017-07-29	120	16.100	115	15.900	145	16.400	150	16.500	9745.2344
2017-07-29	125	16.100	120	16.100	150	16.500	155	16.600	13084.3486
2017-07-29	130	16.100	125	16.100	155	16.600	160	16.600	9662.3066
2017-07-29	135	16.300	130	16.100	160	16.600	165	16.600	13425.7930
2017-07-29	140	16.300	135	16.300	165	16.600	170	16.700	16443.6504
2017-07-29	145	16.400	140	16.300	170	16.700	175	17.000	14755.1592
2017-07-29	150	16.500	145	16.400	175	17.000	180	17.000	14070.0908
2017-07-29	155	16.600	150	16.500	180	17.000	185	17.000	11930.7041
2017-07-29	160	16.600	155	16.600	185	17.000	190	16.700	15389.9561
2017-07-29	165	16.600	160	16.600	190	16.700	195	16.700	22298.9590
2017-07-29	180	17.000	175	17.000	205	13.700	210	12.700	22842.4473
2017-07-29	195	16.700	190	16.700	220	9.700	225	6.900	14273.5537
2017-07-29	210	12.700	205	13.700	235	0.000	240	0.000	15468.3652
2017-07-29	215	13.500	210	12.700	240	0.000	245	-0.227	670.6696
2017-07-29	220	9.700	215	13.500	245	-0.227	250	-0.455	139.7453
2017-07-29	225	6.900	220	9.700	250	-0.455	255	-0.682	146.8790
2017-07-29	230	4.300	225	6.900	255	-0.682	260	-0.909	133.6137
2017-07-29	235	0.000	230	4.300	260	-0.909	265	-1.136	137.2799
2017-07-29	240	0.000	235	0.000	265	-1.136	270	-1.364	132.0010
2017-07-29	245	-0.227	240	0.000	270	-1.364	275	-1.591	15.7866
2017-07-29	250	-0.455	245	-0.227	275	-1.591	280	-1.818	15.8792
2017-07-29	255	-0.682	250	-0.455	280	-1.818	285	-2.045	17.5811
2017-07-29	260	-0.909	255	-0.682	285	-2.045	290	-2.273	15.6339
2017-07-29	265	-1.136	260	-0.909	290	-2.273	295	-2.500	14.1445
2017-07-29	270	-1.364	265	-1.136	295	-2.500	300	-2.608	13.6707
2017-07-29	275	-1.591	270	-1.364	300	-2.608	305	-2.717	9.8582
2017-07-29	280	-1.818	275	-1.591	305	-2.717	310	-2.825	12.0272
2017-07-29	285	-2.045	280	-1.818	310	-2.825	315	-2.933	10.7097
2017-07-29	290	-2.273	285	-2.045	315	-2.933	320	-3.042	6.6857
2017-07-29	295	-2.500	290	-2.273	320	-3.042	325	-3.150	7.0629
2017-07-29	300	-2.608	295	-2.500	325	-3.150	330	-3.258	7.3769
2017-07-29	305	-2.717	300	-2.608	330	-3.258	335	-3.367	8.1885
2017-07-29	310	-2.825	305	-2.717	335	-3.367	340	-3.475	6.5923
2017-07-29	315	-2.933	310	-2.825	340	-3.475	345	-3.583	7.0117
2017-07-29	320	-3.042	315	-2.933	345	-3.583	350	-3.692	6.3146
2017-07-29	325	-3.150	320	-3.042	350	-3.692	355	-3.800	6.4567
2017-07-29	15	14.300	0	14.600	45	14.600	60	14.900	10535.6279
2017-07-29	20	14.500	5	14.300	50	14.700	65	14.900	13661.3662
2017-07-29	25	14.700	10	14.300	55	14.600	70	15.200	19956.4766
2017-07-29	30	14.600	15	14.300	60	14.900	75	15.500	17869.9453
2017-07-29	35	14.600	20	14.500	65	14.900	80	15.400	15127.1084
2017-07-29	40	14.900	25	14.700	70	15.200	85	15.500	13722.4385
2017-07-29	45	14.600	30	14.600	75	15.500	90	15.500	17058.4707
2017-07-29	50	14.700	35	14.600	80	15.400	95	15.800	15543.9854
2017-07-29	55	14.600	40	14.900	85	15.500	100	15.600	14193.8291
2017-07-29	60	14.900	45	14.600	90	15.500	105	15.800	15846.1807
2017-07-29	65	14.900	50	14.700	95	15.800	110	16.000	22216.9531
2017-07-29	70	15.200	55	14.600	100	15.600	115	15.900	24310.2734
2017-07-29	75	15.500	60	14.900	105	15.800	120	16.100	18108.4668
2017-07-29	80	15.400	65	14.900	110	16.000	125	16.100	18030.4297
2017-07-29	85	15.500	70	15.200	115	15.900	130	16.100	18573.9766
2017-07-29	90	15.500	75	15.500	120	16.100	135	16.300	19493.5684
2017-07-29	95	15.800	80	15.400	125	16.100	140	16.300	16279.3438
2017-07-29	100	15.600	85	15.500	130	16.100	145	16.400	16300.4922
2017-07-29	105	15.800	90	15.500	135	16.300	150	16.500	18894.1543
2017-07-29	110	16.000	95	15.800	140	16.300	155	16.600	18543.3262
2017-07-29	115	15.900	100	15.600	145	16.400	160	16.600	16933.0469
2017-07-29	120	16.100	105	15.800	150	16.500	165	16.600	15583.5693
2017-07-29	125	16.100	110	16.000	155	16.600	170	16.700	18563.4570
2017-07-29	130	16.100	115	15.900	160	16.600	175	17.000	22975.8359
2017-07-29	135	16.300	120	16.100	165	16.600	180	17.000	23206.4414
2017-07-29	140	16.300	125	16.100	170	16.700	185	17.000	24943.5039
2017-07-29	145	16.400	130	16.100	175	17.000	190	16.700	21728.5996
2017-07-29	150	16.500	135	16.300	180	17.000	195	16.700	24898.7188
2017-07-29	160	16.600	145	16.400	190	16.700	205	13.700	20731.1953
2017-07-29	165	16.600	150	16.500	195	16.700	210	12.700	15668.3916
2017-07-29	175	17.000	160	16.600	205	13.700	220	9.700	15407.5889
2017-07-29	190	16.700	175	17.000	220	9.700	235	0.000	11665.4248
2017-07-29	195	16.700	180	17.000	225	6.900	240	0.000	15767.3516
2017-07-29	200	15.600	185	17.000	230	4.300	245	-0.227	12531.2979
2017-07-29	205	13.700	190	16.700	235	0.000	250	-0.455	6660.1099
2017-07-29	210	12.700	195	16.700	240	0.000	255	-0.682	981.5661
2017-07-29	215	13.500	200	15.600	245	-0.227	260	-0.909	412.0894
2017-07-29	220	9.700	205	13.700	250	-0.455	265	-1.136	193.9054
2017-07-29	225	6.900	210	12.700	255	-0.682	270	-1.364	117.6880
2017-07-29	230	4.300	215	13.500	260	-0.909	275	-1.591	107.3806
2017-07-29	235	0.000	220	9.700	265	-1.136	280	-1.818	117.4516
2017-07-29	240	0.000	225	6.900	270	-1.364	285	-2.045	104.8675
2017-07-29	245	-0.227	230	4.300	275	-1.591	290	-2.273	65.9665
2017-07-29	250	-0.455	235	0.000	280	-1.818	295	-2.500	30.9165
2017-07-29	255	-0.682	240	0.000	285	-2.045	300	-2.608	12.9682
2017-07-29	260	-0.909	245	-0.227	290	-2.273	305	-2.717	13.8088
2017-07-29	265	-1.136	250	-0.455	295	-2.500	310	-2.825	15.2243
2017-07-29	270	-1.364	255	-0.682	300	-2.608	315	-2.933	14.3269
2017-07-29	275	-1.591	260	-0.909	305	-2.717	320	-3.042	12.9342
2017-07-29	280	-1.818	265	-1.136	310	-2.825	325	-3.150	12.5799
2017-07-29	285	-2.045	270	-1.364	315	-2.933	330	-3.258	11.5418
2017-07-29	290	-2.273	275	-1.591	320	-3.042	335	-3.367	11.7575
2017-07-29	295	-2.500	280	-1.818	325	-3.150	340	-3.475	10.1532
2017-07-29	300	-2.608	285	-2.045	330	-3.258	345	-3.583	10.0760
2017-07-29	305	-2.717	290	-2.273	335	-3.367	350	-3.692	8.8069
2017-07-29	310	-2.825	295	-2.500	340	-3.475	355	-3.800	9.3956
2017-07-29	15	14.300	0	14.600	55	14.600	70	15.200	19070.5938
2017-07-29	20	14.500	5	14.300	60	14.900	75	15.500	20494.3789
2017-07-29	25	14.700	10	14.300	65	14.900	80	15.400	25595.2344
2017-07-29	30	14.600	15	14.300	70	15.200	85	15.500	22908.7168
2017-07-29	35	14.600	20	14.500	75	15.500	90	15.500	21261.9727
2017-07-29	40	14.900	25	14.700	80	15.400	95	15.800	17258.3652
2017-07-29	45	14.600	30	14.600	85	15.500	100	15.600	17759.5879
2017-07-29	50	14.700	35	14.600	90	15.500	105	15.800	17731.2480
